Altium Designer Pick and Place Locations
E:\םוטחגוסעםûו ןכאעû\ÌÍÈÏÈ\Èסעמקםטך 200 À\ÓØ‗È 687253.017 Ý3\Project Outputs for ÓØ‗È 687253.017 Ý3\Pick Place for PCB2.csv

========================================================================================================================
File Design Information:

Date:       24.07.25
Time:       12:20
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"Designator22","Comment","TopLayer","Screw_M3","5.0000mm","75.0000mm","180",""
"Designator21","Comment","TopLayer","Screw_M3","5.0000mm","5.0000mm","180",""
"Designator20","Comment","TopLayer","Screw_M3","95.0000mm","5.0000mm","180",""
"Designator19","Comment","TopLayer","Screw_M3","95.0000mm","75.0000mm","180",""
"Designator18","Comment","TopLayer","Screw_M3","95.0000mm","145.0000mm","180",""
"Designator17","Comment","TopLayer","Screw_M3","5.0000mm","145.0000mm","180",""
"C1","0805-X7R-25 Â-0,1 לךÔ +-10%","TopLayer","CAP:_0805","10.5000mm","27.1000mm","0",""
"C35","Ê73-17-160 Â-1 לךÔ +-10%","TopLayer","Ê73-17-A15","40.7000mm","104.2000mm","0",""
"C34","Ê73-17-160 Â-1 לךÔ +-10%","TopLayer","Ê73-17-A15","62.1000mm","104.2000mm","180",""
"XP4","DS1021-1x3","TopLayer","3X2.54","29.0000mm","109.0400mm","270","PLS-3, 2.54 pitch"
"XP3","DS1021-1x3","TopLayer","3X2.54","27.6000mm","86.9000mm","270","PLS-3, 2.54 pitch"
"XP1","BH2-20","TopLayer","DS1014-20","3.3000mm","34.0000mm","270","IDC2-20MS DS1014 20 pin"
"ÊÒ6","Lepestok","TopLayer","LEPESTOK7750224","50.6000mm","78.4000mm","180",""
"ÊÒ5","Lepestok","TopLayer","LEPESTOK7750224","56.8000mm","114.6000mm","180",""
"ÊÒ4","Lepestok","TopLayer","LEPESTOK7750224","27.0000mm","138.5000mm","270",""
"ÊÒ3","Lepestok","TopLayer","LEPESTOK7750224","88.7000mm","127.3000mm","180",""
"ÊÒ2","Lepestok","TopLayer","LEPESTOK7750224","45.1000mm","5.9000mm","270",""
"ÊÒ1","Lepestok","TopLayer","LEPESTOK7750224","1.6000mm","54.5000mm","90",""
"XP6","280372-2","TopLayer","280372-2","34.0700mm","2.9000mm","0","Connector"
"XP5","280373-2","TopLayer","280373-2","96.4000mm","110.8700mm","90","Connector"
"XP2","280370-2","TopLayer","280370-2","2.7000mm","62.7700mm","270","Connector"
"VT4","IPA083N10N5XKSA1","TopLayer","TO-220_HV_FET","31.4000mm","51.6000mm","270","Single N-Channel 100 V 8.3 mOhm 37 nC OptiMOS? Power Mosfet - TO-220-3"
"VT3","IPA083N10N5XKSA1","TopLayer","TO-220_HV_FET","29.5000mm","38.6000mm","0","Single N-Channel 100 V 8.3 mOhm 37 nC OptiMOS? Power Mosfet - TO-220-3"
"VT2","ZXMP10A17E6TA","TopLayer","SOT-23-6","24.1000mm","142.6000mm","90","P-Channel 100 V 0.35 Ohm Power MOSFET Surface Mount - SOT-23-6"
"VT1","ZXMN10A08E6TA","TopLayer","SOT-23-6","85.4000mm","130.8000mm","90","MOSFET, N, SOT-23-6; Transistor Type: MOSFET; Transistor Polarity: N; Voltage, Vds Typ: 100V; Current, Id Cont: 1.5A;"
