"Component Name","Designator","Quantity","Manufacturer"

"Вилка AMPMODU II 280371-2","XP8","1","TE Connectivity"
"Вилка AMPMODU II 280371-2","XP9","1","TE Connectivity"
"Вилка AMPMODU II 280371-2","XP11","1","TE Connectivity"
"Вилка AMPMODU II 280371-2","XP14","1","TE Connectivity"
"Вилка AMPMODU II 280372-2","XP2","1","TE Connectivity"
"Вилка BH2-10R","XP13","1","Connfly electronic"
"Вилка BH2-20R","XP6","1","Connfly electronic"
"Вилка BH2-20R","XP10","1","Connfly electronic"
"Вилка BH2-20R","XP12","1","Connfly electronic"
"Вилка BH2-40","XP4","1","Connfly electronic"
"Вилка BH2-40","XP5","1","Connfly electronic"
"Вилка BH2-40","XP7","1","Connfly electronic"
"Вилка BH-40","XP3","1","Connfly electronic"
"Вилка PLD-10","XP1","1","Connfly electronic"
"Дроссель LQH31CNR22M03","L1","1","Murata"
"Дроссель LQH31CNR22M03","L3","1","Murata"
"Дроссель LQH31CNR22M03","L4","1","Murata"
"Дроссель LQH31CNR22M03","L5","1","Murata"
"Кварцевый генератор O 20,0-JO32-B-3.3-1-T1-LF","DD2","1","Jauch Quartz GmbH"
"Конденсатор EXR102M16B","C86","1","Hitano"
"Конденсатор GRM21BR71E104KA01L","C3","1","Murata"
"Конденсатор GRM21BR71E104KA01L","C6","1","Murata"
"Конденсатор GRM21BR71E104KA01L","C7","1","Murata"
"Конденсатор GRM21BR71E104KA01L","C8","1","Murata"
"Конденсатор GRM21BR71E104KA01L","C9","1","Murata"
"Конденсатор GRM21BR71E104KA01L","C10","1","Murata"
"Конденсатор GRM21BR71E104KA01L","C12","1","Murata"
"Конденсатор GRM21BR71E104KA01L","C14","1","Murata"
"Конденсатор GRM21BR71E104KA01L","C15","1","Murata"
"Конденсатор GRM21BR71E104KA01L","C17","1","Murata"
"Конденсатор GRM21BR71E104KA01L","C18","1","Murata"
"Конденсатор GRM21BR71E104KA01L","C19","1","Murata"
"Конденсатор GRM21BR71E104KA01L","C20","1","Murata"
"Конденсатор GRM21BR71E104KA01L","C21","1","Murata"
"Конденсатор GRM21BR71E104KA01L","C22","1","Murata"
"Конденсатор GRM21BR71E104KA01L","C23","1","Murata"
"Конденсатор GRM21BR71E104KA01L","C24","1","Murata"
"Конденсатор GRM21BR71E104KA01L","C25","1","Murata"
"Конденсатор GRM21BR71E104KA01L","C94","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C1","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C27","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C29","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C31","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C32","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C33","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C34","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C35","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C36","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C37","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C38","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C39","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C41","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C42","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C43","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C44","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C45","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C46","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C47","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C48","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C49","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C50","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C51","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C52","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C53","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C54","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C55","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C56","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C57","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C58","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C63","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C65","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C68","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C69","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C70","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C71","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C72","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C73","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C74","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C75","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C76","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C77","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C78","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C79","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C80","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C81","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C82","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C84","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C87","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C90","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C91","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C92","1","Murata"
"Конденсатор GRM21BR71H104KA01L","C95","1","Murata"
"Конденсатор GRM21BR71H105KA01L","C4","1","Murata"
"Конденсатор GRM21BR71H105KA01L","C5","1","Murata"
"Конденсатор GRM2165C1H200J","C60","1","Murata"
"Конденсатор GRM2165C1H200J","C61","1","Murata"
"Конденсатор TAJA225M016","C66","1","AVX"
"Конденсатор TAJA225M016","C67","1","AVX"
"Конденсатор TAJB106M020","C16","1","KYOCERA AVX"
"Конденсатор TAJB106M020","C40","1","KYOCERA AVX"
"Конденсатор TAJB106M020","C62","1","KYOCERA AVX"
"Конденсатор TAJB106M020","C64","1","KYOCERA AVX"
"Конденсатор TAJB106M020","C88","1","KYOCERA AVX"
"Конденсатор TAJB106M020","C89","1","KYOCERA AVX"
"Конденсатор TAJB106M020","C93","1","KYOCERA AVX"
"Конденсатор TAJB475K020","C2","1","KYOCERA AVX"
"Конденсатор TAJB475K020","C11","1","KYOCERA AVX"
"Конденсатор TAJB475K020","C26","1","KYOCERA AVX"
"Конденсатор TAJB475K020","C28","1","KYOCERA AVX"
"Конденсатор TAJB475K020","C30","1","KYOCERA AVX"
"Конденсатор TAJB475K020","C59","1","KYOCERA AVX"
"Микросхема ADM483AR","DA5","1","Analog Devices"
"Микросхема ADM483AR","DA6","1","Analog Devices"
"Микросхема ADM483AR","DA7","1","Analog Devices"
"Микросхема ADM483AR","DA8","1","Analog Devices"
"Микросхема ADM483AR","DA9","1","Analog Devices"
"Микросхема ADM483AR","DA11","1","Analog Devices"
"Микросхема ADM483AR","DA12","1","Analog Devices"
"Микросхема ADM483AR","DA14","1","Analog Devices"
"Микросхема ADM483AR","DA17","1","Analog Devices"
"Микросхема EP3C5E144I7","DD1","1","Intel"
"Микросхема EPCS4SI8N","DD3","1","Intel"
"Микросхема LD1117AS12TR","DA3","1","STMicroelectronics"
"Микросхема LD1117AS25TR","DA2","1","STMicroelectronics"
"Микросхема LD1117AS33TR","DA1","1","STMicroelectronics"
"Микросхема LD1117AS33TR","DA4","1","STMicroelectronics"
"Микросхема LD1117AS33TR","DA22","1","STMicroelectronics"
"Микросхема SN65HVD75D","DA10","1","Texas Instruments"
"Микросхема SN65HVD75D","DA13","1","Texas Instruments"
"Микросхема SN65HVD75D","DA15","1","Texas Instruments"
"Микросхема SN65HVD75D","DA16","1","Texas Instruments"
"Микросхема SN65HVD75D","DA18","1","Texas Instruments"
"Микросхема SN65HVD75D","DA19","1","Texas Instruments"
"Микросхема STM32F407ZGTx","DD4","1","STMicroelectronics"
"Микросхема USBUF01W6","DD5","1","STMicroelectronics"
